SAMPLE	PC1	PC2	PC3	PC4	POPULATION
HGDP00082	-0.0105439	0.0178698	0.0140814	1.39332e-05	SAS
HGDP00450	0.0344003	-0.00729052	0.00595015	0.000941844	AFR
HGDP00525	-0.0102229	0.027071	-0.00884695	-0.0174524	EUR
HGDP00563	-0.00919238	0.0203768	-0.0127589	-0.0236601	EUR
HGDP00575	-0.00952798	0.0246837	-0.000442602	-0.00819088	AMR
HGDP00669	-0.00957576	0.0253147	-0.0139353	-0.0221857	EUR
HGDP00843	-0.0161872	-0.0111661	-0.0549875	0.0968645	AMR
HGDP00859	-0.0167513	-0.00991956	-0.0521843	0.087092	AMR
HGDP01225	-0.0168253	-0.0290727	-0.00861161	-0.0144998	EAS
HGDP01310	-0.0172005	-0.0317386	0.00123188	-0.0138888	EAS
